em_KEGG_ko,kegg_pathway_id,Overview_category,pathway_name
K17193,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K17194,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K21383,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K23261,ko00942,Biosynthesis of other secondary metabolites,Anthocyanin biosynthesis
K05281,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K13077,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K13257,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K13258,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K13259,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K13260,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K13261,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K13262,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K13263,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K13264,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K13265,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K13266,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K13267,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K21513,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K22932,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K23179,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K23180,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K25075,ko00943,Biosynthesis of other secondary metabolites,Isoflavonoid biosynthesis
K01195,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K05279,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K05280,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K10757,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K13080,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K13083,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K13264,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K13269,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K13270,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K13271,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K13272,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K15787,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K22771,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K22772,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K22794,ko00944,Biosynthesis of other secondary metabolites,Flavone and flavonol biosynthesis
K00487,ko00945,Biosynthesis of other secondary metabolites,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
K00588,ko00945,Biosynthesis of other secondary metabolites,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
K09754,ko00945,Biosynthesis of other secondary metabolites,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
K13065,ko00945,Biosynthesis of other secondary metabolites,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
K13231,ko00945,Biosynthesis of other secondary metabolites,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
K13232,ko00945,Biosynthesis of other secondary metabolites,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
K13233,ko00945,Biosynthesis of other secondary metabolites,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
K13234,ko00945,Biosynthesis of other secondary metabolites,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
K13235,ko00945,Biosynthesis of other secondary metabolites,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
K16040,ko00945,Biosynthesis of other secondary metabolites,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
K17211,ko00945,Biosynthesis of other secondary metabolites,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
K17212,ko00945,Biosynthesis of other secondary metabolites,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
