em_KEGG_ko,kegg_pathway_id,Overview_category,pathway_name
K14222,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14223,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14224,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14225,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14226,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14227,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14228,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14229,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14230,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14231,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14232,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14233,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14234,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14235,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14236,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14237,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14238,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K14239,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K22503,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K24278,ko00970,Translation,Aminoacyl-tRNA biosynthesis
K00001,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K00078,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K00079,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K00081,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K00084,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K00121,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K00129,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K00212,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K00699,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K00799,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K01253,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K04097,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K07408,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K07409,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K07410,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K07415,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K07416,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K07420,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K11822,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K13299,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K13951,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K13952,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K13953,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K13980,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K15303,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K15680,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K17683,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K17685,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K17689,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K17690,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K17709,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K17712,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K17719,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K23790,ko00980,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450
K00128,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K01063,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K10718,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K10719,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K10720,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K10721,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K10722,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
